2.63533e-05  -9.2978e-05 -0.000911765  0.00126131 -0.0012445 -0.0154239
3.64179e-05  -0.000101388 -0.0010765  0.00134328 -0.000940234 -0.0172019
3.64179e-05  -0.000101388 -0.0010765  0.00134328 -0.000940234 -0.0172019
3.64179e-05  -0.000101388 -0.0010765  0.00134328 -0.000940234 -0.0172019
3.64179e-05  -0.000101388 -0.0010765  0.00134328 -0.000940234 -0.0172019
3.96732e-05  -0.000105701 -0.00116747  0.00124837 -0.000881295 -0.0182304
3.96732e-05  -0.000105701 -0.00116747  0.00124837 -0.000881295 -0.0182304
3.96732e-05  -0.000105701 -0.00116747  0.00124837 -0.000881295 -0.0182304
3.96732e-05  -0.000105701 -0.00116747  0.00124837 -0.000881295 -0.0182304
3.96732e-05  -0.000105701 -0.00116747  0.00124837 -0.000881295 -0.0182304
4.20619e-05  -0.000109754 -0.00126334  0.00112387 -0.000822993 -0.019252
4.20619e-05  -0.000109754 -0.00126334  0.00112387 -0.000822993 -0.019252
4.20619e-05  -0.000109754 -0.00126334  0.00112387 -0.000822993 -0.019252
4.20619e-05  -0.000109754 -0.00126334  0.00112387 -0.000822993 -0.019252
4.20619e-05  -0.000109754 -0.00126334  0.00112387 -0.000822993 -0.019252
2.28357e-05  -6.51295e-05 -0.000764486  -0.000239801 -0.000257933 -0.0140545
2.05521e-05  -6.60597e-05 -0.000837594  -0.000436937 -0.000204899 -0.0149083
2.05521e-05  -6.60597e-05 -0.000837594  -0.000436937 -0.000204899 -0.0149083
2.05521e-05  -6.60597e-05 -0.000837594  -0.000436937 -0.000204899 -0.0149083
2.05521e-05  -6.60597e-05 -0.000837594  -0.000436937 -0.000204899 -0.0149083
2.05521e-05  -6.60597e-05 -0.000837594  -0.000436937 -0.000204899 -0.0149083
1.65629e-05  -6.66005e-05 -0.00091507  -0.00068628 -0.00015149 -0.0157498
1.65629e-05  -6.66005e-05 -0.00091507  -0.00068628 -0.00015149 -0.0157498
1.65629e-05  -6.66005e-05 -0.00091507  -0.00068628 -0.00015149 -0.0157498
1.65629e-05  -6.66005e-05 -0.00091507  -0.00068628 -0.00015149 -0.0157498
1.65629e-05  -6.66005e-05 -0.00091507  -0.00068628 -0.00015149 -0.0157498
9.63752e-06  -6.65271e-05 -0.00100258  -0.00107101 -7.23393e-05 -0.0172129
9.63752e-06  -6.65271e-05 -0.00100258  -0.00107101 -7.23393e-05 -0.0172129
9.63752e-06  -6.65271e-05 -0.00100258  -0.00107101 -7.23393e-05 -0.0172129
9.63752e-06  -6.65271e-05 -0.00100258  -0.00107101 -7.23393e-05 -0.0172129
9.63752e-06  -6.65271e-05 -0.00100258  -0.00107101 -7.23393e-05 -0.0172129
6.78479e-06  -6.62917e-05 -0.00109095  -0.000933012 -1.13133e-05 -0.0181631
4.90023e-06  -6.59594e-05 -0.00118295  -0.000772649 4.48141e-05 -0.0190198
4.90023e-06  -6.59594e-05 -0.00118295  -0.000772649 4.48141e-05 -0.0190198
4.90023e-06  -6.59594e-05 -0.00118295  -0.000772649 4.48141e-05 -0.0190198
4.90023e-06  -6.59594e-05 -0.00118295  -0.000772649 4.48141e-05 -0.0190198
4.90023e-06  -6.59594e-05 -0.00118295  -0.000772649 4.48141e-05 -0.0190198
7.19295e-06  -9.21326e-05 -0.000676142  -0.000676103 -6.02206e-05 -0.013951
7.19295e-06  -9.21326e-05 -0.000676142  -0.000676103 -6.02206e-05 -0.013951
7.19295e-06  -9.21326e-05 -0.000676142  -0.000676103 -6.02206e-05 -0.013951
